Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Sat Jul  6 11:44:47 2019,3,"mre, correct",5000,50,500,50,0.0,"[300, 300, 150]",0.0095,1.1548,0.11,0.084,-0.0194,1.9439,-0.6064,56
Sat Jul  6 11:46:45 2019,5,"mse, rmse, correct",5000,50,500,50,0.2,"[300, 300, 150]",0.0089,1.0762,0.1148,0.0846,0.0198,2.9567,0.3403,52
Sat Jul  6 11:47:57 2019,5,correct,5000,50,750,50,0.0,"[50, 50, 150]",0.0223,1.0437,0.2078,0.1355,0.1307,7.4728,2.5376,56
Sat Jul  6 11:49:14 2019,4,correct,5000,50,750,50,0.2,"[50, 50, 150]",0.067,1.3295,0.2574,0.2192,-0.2942,-0.294,-7.6568,56
Sat Jul  6 11:50:44 2019,2,correct,5000,50,750,50,0.0,"[200, 200, 150]",0.1291,1.1616,0.4769,0.3488,0.4486,22.4296,8.6265,56
Sat Jul  6 11:52:24 2019,5,correct,5000,50,750,50,0.2,"[200, 200, 150]",0.011000000000000001,1.9519,0.1129,0.0882,-0.040999999999999995,1.5805,-1.0998,60
Sat Jul  6 11:54:10 2019,1,correct,5000,50,750,50,0.0,"[300, 300, 150]",0.0714,0.9072,0.3669,0.2537,0.3263,16.3158,6.3762,56
Sat Jul  6 11:56:00 2019,4,correct,5000,50,750,50,0.2,"[300, 300, 150]",0.0103,1.6268,0.1189,0.0876,0.0199,3.0204,0.3745,60
Sat Jul  6 12:03:22 2019,4,correct,5000,50,250,100,0.0,"[50, 50, 150]",0.0192,6.9511,0.1291,0.1161,-0.1116,1.0092,-4.4213,63
Sat Jul  6 12:04:48 2019,5,"mse, mre, rmse, correct",5000,50,250,100,0.2,"[50, 50, 150]",0.0114,2.5943,0.1112,0.0936,-0.0455,2.3291,-1.7394,72
Sat Jul  6 12:06:19 2019,0,correct,5000,50,250,100,0.0,"[200, 200, 150]",0.0218,1.2583,0.1573,0.1286,-0.0628,4.4696,-2.7848,72
Sat Jul  6 12:08:04 2019,2,"mse, rmse, correct",5000,50,250,100,0.2,"[200, 200, 150]",0.0106,1.965,0.1179,0.0939,0.0017,5.0933,0.2717,90
Sat Jul  6 12:09:53 2019,1,"mse, rmse, correct",5000,50,250,100,0.0,"[300, 300, 150]",0.0125,1.4691,0.1295,0.102,0.0082,5.9812,0.958,63
Sat Jul  6 12:11:58 2019,1,correct,5000,50,250,100,0.2,"[300, 300, 150]",0.019,1.8961,0.1806,0.1271,0.1097,12.845999999999998,3.7778,72
Sat Jul  6 12:13:06 2019,3,"mse, rmse, correct",5000,50,500,100,0.0,"[50, 50, 150]",0.0186,1.12,0.1762,0.1243,0.0546,9.6178,1.6161,90
Sat Jul  6 12:14:16 2019,2,correct,5000,50,500,100,0.2,"[50, 50, 150]",0.0785,1.1604,0.2694,0.2369,-0.312,-0.2431,-14.1213,36
